"tab1"	"P"
"346"	346	22
"347"	347	0
"348"	348	0
"349"	349	0
"350"	350	0
"351"	351	22
"352"	352	22
"353"	353	0
"354"	354	0
"355"	355	0
"356"	356	0
"357"	357	22
"358"	358	22
"359"	359	0
"360"	360	0
"361"	361	0
"362"	362	0
"363"	363	22
"364"	364	22
"365"	365	0
"366"	366	0
"367"	367	22
"368"	368	22
"369"	369	0
"370"	370	0
"371"	371	0
"372"	372	0
"373"	373	15.513790423431
"374"	374	15.513790423431
"375"	375	0
"376"	376	0
"377"	377	0
"378"	378	0
"379"	379	12.9587687738475
"380"	380	12.9587687738475
"381"	381	-7.88860905221012e-31
"382"	382	-7.88860905221012e-31
"383"	383	18.6947161184211
"384"	384	18.6947161184211
"385"	385	0
"386"	386	0
"387"	387	0
"388"	388	0
"389"	389	22
"390"	390	22
"391"	391	0
"392"	392	0
"393"	393	18.1005796973122
"394"	394	18.1005796973122
"395"	395	0
"396"	396	0
"397"	397	0
"398"	398	0
"399"	399	15.180957275979
"400"	400	15.180957275979
"401"	401	0
"402"	402	0
"403"	403	0
"404"	404	0
"405"	405	22
"406"	406	22
"407"	407	0
"408"	408	0
"409"	409	0
"410"	410	0
"411"	411	14.1876019922436
"412"	412	14.1876019922436
"413"	413	0
"414"	414	0
"415"	415	16.8695186945837
"416"	416	16.8695186945837
"417"	417	0
"418"	418	0
"419"	419	0
"420"	420	0
"421"	421	15.0264791849823
"422"	422	15.0264791849823
"423"	423	0
"424"	424	0
"425"	425	22
"426"	426	22
"427"	427	21.2155656876897
"428"	428	21.2155656876897
"429"	429	0
"430"	430	0
"431"	431	17.37783275
"432"	432	17.37783275
