"";"Pel_CHP1_PubGel1";"Pel_PV1_PubGel1";"Pel_PubGel1_Demel1";"Pel_CHP1_Demel1";"Pel_PV1_Demel1";"Pel_PubGel1_Demel2";"Pel_CHP1_Demel2";"Pel_PV1_Demel2";"Pfuel_PubGfuel1_GaBo1";"Pfuel_PubGfuel1_CHP1";"Pth_CHP1_TS1";"Pth_GaBo1_Demth1";"Pth_TS1_Demth1";"Eth_TS1";"Op_CHP1";"epex"
"3120";0;0;8,694;0;0;0;0;0;12,9833333333333;0;0;11,685;0;69,78;0;0,011952364
"3121";0;0;8,397;0;0;0;0;0;0;0;0;0;6,735;62,8704983021102;0;0,022157536
"3122";0;0;8,28;0;0;0;0;0;0;0;0;0;6,495;56,2182754775058;0;0,022157536
"3123";0;0;8,343;0;0;0;0;0;0;0;0;0;6,21;49,8676881383935;0;0,022157536
"3124";0;0;8,64;0;0;0;0;0;0;0;0;0;6,795;42,9479819725869;0;0,022157536
"3125";0;4,9960036108132e-16;8,9787939;0;0,0908660999999995;0;0;0;0;0;0;0;10,245;32,5955801987956;0;0,054604225
"3126";0;8,32667268468867e-16;9,82482711;0;0,326722889999999;0;0;0;0;0;0;0;15,8511;16,6629670992199;0;0,054604225
"3127";0;2,22044604925031e-16;10,3665828;0;0,7743372;0;0;0;1,5848918484623;0;0;1,42640266361607;16,6212973363839;0;0;0,054604225
"3128";8,41825999999999;1,8133713;0;11,58174;0;0;0;0;0;52,5003281270508;29,0001312508203;0;16,11825;12,8818812508203;1;0,054604225
"3129";8,34022999999999;9,718722;0;11,65977;0;0;0;0;0;52,5003281270508;29,0001312508203;0;15,3465;26,5032982547177;1;0,038918407
"3130";8,17624999999999;10,390341;0;11,82375;0;0;0;0;0;52,5003281270508;29,0001312508203;0;14,28;41,1571516244097;1;0,038918407
"3131";8,00533999999999;9,205131;0;11,99466;0;0;0;0;0;52,5003281270508;29,0001312508203;0;13,59;56,4643595040812;1;0,038918407
"3132";8,25382999999999;18,765825;0;11,74617;0;0;0;0;0;52,5003281270508;29,0001312508203;0;12,975;72,3482880234065;1;0,038918407
"3133";0;8,517963;0;0;11,5911;0;0;0;0;0;0;0;12,675;59,4923637026914;0;0,046428524
"3134";0;0,395553;0;0;11,41704;0;0;0;0;0;0;0;12,285;47,0585887173433;0;0,046428524
"3135";0;0;2,610222;0;8,849568;0;0;0;0;0;0;0;11,85;35,090907381266;0;0,046428524
"3136";0;-4,44089209850063e-16;10,7696469;0;0,5254431;0;0;0;0;0;0;0;11,97;23,0331541150217;0;0,046428524
"3137";0;0;11,38887;0;0;0,937261700000011;20;1,0627383;0;52,5003281270508;29,0001312508203;0;12,315;39,6606854159878;1;0,014789039
"3138";0;0;10,7155593;0;0,7940907;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;12,975;55,5866355698668;1;0,014789039
"3139";0;0;0;11,51298;0;12,72284;8,48701999999999;0,79014;0;52,5003281270508;29,0001312508203;0;14,01;70,4377590493068;1;0,014789039
"3140";0;0;11,19303;0;0;1,87476281000001;20;0,12523719;0;52,5003281270508;29,0001312508203;0;14,985;84,2767437173003;1;0,014789039
"3141";0;0;11,03238;0;0;0;0;0;0;0;0;0;15,3762;68,6897894199187;0;0,016383215
"3142";9,47143999999999;0;0;10,52856;0;0;0;0;0;52,5003281270508;29,0001312508203;0;14,7;82,8181453070035;1;0,016383215
"3143";0;0;9,56853;0;0;0;0;0;0;0;0;0;12,105;70,506038586279;0;0,016383215
"3144";0;0;8,865;0;0;0;0;0;9,25586527330717;0;0;8,33027874597646;0,549721254023545;69,78;0;0,016383215
"3145";0;0;8,685;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;5,79;92,8156295529305;1;0,054504833
"3146";0;0;8,541;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;5,595;115,988652965578;1;0,054504833
"3147";0;0;8,631;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;5,34;139,358726651502;1;0,054504833
"3148";0;0;8,892;0;0;22;0;0;0;0;0;0;5,85;133,160226588212;0;0,054504833
"3149";0;0;9,10475883;0;0,09126117;0;0;0;0;0;0;0;8,805;124,02222736736;0;0,0502357
"3150";0;0;9,8161869;0;0,5254431;0;0;0;0;0;0;0;13,635;110,077079914627;0;0,0502357
"3151";0;4,44089209850063e-16;10,4182017;0;1,0627383;0;0;0;0;0;0;0;15,5232;94,2786056620643;0;0,0502357
"3152";0;-2,22044604925031e-16;10,3600602;0;1,6355898;0;0;0;0;0;0;0;13,86;80,1828392997441;0;0,0502357
"3153";0;8,88178419700125e-16;9,8505501;0;2,2005399;0;0;0;0;0;0;0;13,2;66,7823227964562;0;0,041431778
"3154";0;8,88178419700125e-16;8,082208263;0;4,104421737;0;0;0;0;0;0;0;12,285;54,3303175124636;0;0,041431778
"3155";7,60393999999999;8,850042084;0;12,39606;0;0;0;0;0;52,5003281270508;29,0001312508203;0;11,7;71,4945827178151;1;0,041431778
"3156";0;0;1,336854732;0;10,877225268;0;0;0;0;0;0;0;11,16;60,1557932928484;0;0,041431778
"3157";0;0;0;0;12,11004;1,47483224600001;20;0,525167754;0;52,5003281270508;29,0001312508203;0;10,905;78,1004904928302;1;0,07801894
"3158";0;1,38069215199999;0;0;11,85858;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;10,575;96,3303126551291;1;0,07801894
"3159";0;0;0;0;11,71818;15,06218446;0;6,93781554;0;0;0;0;10,185;85,9044155052786;0;0,07801894
"3160";0;0;0;0;11,41704;0,706768946000011;20;1,293231054;0;52,5003281270508;29,0001312508203;0;10,29;104,399722073355;1;0,07801894
"3161";0;0;4,75626590600001;0;6,55097409399999;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;10,59;122,548776672398;1;0,058003193
"3162";0;0;11,32254;0;0;17,625982495;0;4,374017505;0;0;0;0;11,16;111,082313938038;0;0,058003193
"3163";0;0;9,6921177;0;1,5368223;22;0;0;0;0;0;0;12,045;98,7595258556685;0;0,058003193
"3164";0;0;0;10,92627;0;12,80261309;9,07372999999999;0,12365691;0;52,5003281270508;29,0001312508203;0;12,9;114,612685123906;1;0,058003193
"3165";0;0;10,73304;0;0;0;0;0;0;0;0;0;13,23;101,096068498028;0;-0,004017566
"3166";0;0;10,07379;0;0;0;0;0;0;0;1,26217744835362e-29;0;12,645;88,1982534277655;0;-0,004017566
"3167";0;0;9,04005;0;0;0;0;0;0;0;0;0;10,41;77,5676924507799;0;-0,004017566
"3168";0;0;8,235;0;0;0;0;0;0,0458713865582312;0;0;0,0412842479024081;7,59371575209759;69,78;0;-0,004017566
