Zeit;Waermebedarf;Strombedarf;DayAhead_Preis;PV;E_Mob
331200;0,000285178;0,0001308;3,425001;0;0
334800;0,000276791;0,000124744;-26,657152;0;2
338400;0,000253425;0,000121176;-26,657152;0;2
342000;0,000227064;0,00011942;-26,657152;0;2
345600;0,000166554;0,000113697;-26,657152;0;2,00E+00
349200;0,000156127;0,000109084;7,328113;0;0,00E+00
352800;0,000160331;0,000104716;7,328113;0;0,00E+00
356400;0,000162733;0,000101765;7,328113;0;0,00E+00
360000;0,000175343;0,00010013;7,328113;0;0,00E+00
363600;0,000213774;0,000100705;65,9053;0;0,00E+00
367200;0,00030625;0,000103646;65,9053;0;0,00E+00
370800;0,000300845;0,00011213;65,9053;0;0
374400;0,000283431;0,000124834;65,9053;9,69E-06;0,00E+00
378000;0,000290036;0,000130929;78,08764;3,14E-05;0,00E+00
381600;0,000285833;0,000132593;78,08764;0,000292145;0,00E+00
385200;0,000278027;0,000133878;78,08764;0,000532466;0,00E+00
388800;0,000271421;0,000135638;78,08764;0,000577109;0,00E+00
392400;0,000269019;0,000136082;31,06621;0,000576196;0
396000;0,000263615;0,000135354;31,06621;0,000485406;0
399600;0,000263014;0,000133544;31,06621;0,000242421;0
403200;0,000265416;0,000132411;31,06621;2,23E-05;0
406800;0,000276225;0,00013378;32,111374;0;2
410400;0,000284632;0,000139756;32,111374;0;2
414000;0,000288235;0,000141175;32,111374;0;2
417600;0,000285833;0,000138901;32,111374;0;2
421200;0,000277426;0,000132601;-19,65149;0;2
424800;0,000254007;0,000126778;-19,65149;0;2
428400;0,000227586;0,000124516;-19,65149;0;2
432000;0,000166936;0,000116465;-19,65149;0;2,00E+00
435600;0,000142762;0,000110513;34,997345;0;0,00E+00
439200;0,000146606;0,000106051;34,997345;0;0,00E+00
442800;0,000148802;0,000102993;34,997345;0;0,00E+00
446400;0,000160333;0,000101219;34,997345;0;0,00E+00
450000;0,000195474;0,000101433;-2,67042;0;0,00E+00
453600;0,000280033;0,000103427;-2,67042;0;0,00E+00
457200;0,000275091;0,000110658;-2,67042;0;0
460800;0,000259168;0,000121714;-2,67042;9,47E-06;0,00E+00
464400;0,000265208;0,000126784;63,299686;4,61E-05;0,00E+00
468000;0,000261364;0,000128602;63,299686;2,25E-04;0,00E+00
471600;0,000254226;0,000130753;63,299686;4,63E-04;0,00E+00
475200;0,000248186;0,00013291;63,299686;3,78E-04;0,00E+00
478800;0,00024599;0,000133025;-27,86445;3,28E-04;0
482400;0,000241048;0,000131252;-27,86445;2,64E-04;0
486000;0,000240499;0,000129199;-27,86445;9,59E-05;0
489600;0,000242695;0,000128362;-27,86445;2,39E-05;0
493200;0,000252579;0,000129742;-4,628523;0,00E+00;0
496800;0,000260266;0,000136156;-4,628523;0,00E+00;0
500400;0,000263561;0,000138457;-4,628523;0,00E+00;0
504000;0,000261364;0,000135982;-4,628523;0,00E+00;0
507600;0,000253677;0,000129574;8,164288;0,00E+00;2
511200;0,000232263;0,000125304;8,164288;0,00E+00;2
514800;0,000208103;0,000123976;8,164288;0,00E+00;2
518400;0,000152646;0,00011689;8,164288;0,00E+00;2,00E+00
522000;0,000118501;0,000110648;-10,967108;0,00E+00;0,00E+00
525600;0,000126001;0,000105791;-10,967108;0,00E+00;0,00E+00
529200;0,000127501;0,00010293;-10,967108;0,00E+00;0,00E+00
532800;0,000137001;0,000101321;-10,967108;0,00E+00;0,00E+00
536400;0,000170501;0,000102418;8,403241;0,00E+00;0,00E+00
540000;0,000252002;0,000106943;8,403241;0,00E+00;0,00E+00
543600;0,000249502;0,000118022;8,403241;0,00E+00;0
547200;0,000242502;0,000131985;8,403241;0,00E+00;0,00E+00
550800;0,000241502;0,000136432;-14,283743;1,32E-05;0,00E+00
554400;0,000236502;0,000136713;-14,283743;2,43E-05;0,00E+00
558000;0,000230002;0,000137722;-14,283743;6,19E-05;0,00E+00
561600;0,000223001;0,000138907;-14,283743;9,16E-05;0,00E+00
565200;0,000221001;0,000138792;40,780033;7,03E-05;0
568800;0,000220501;0,000137511;40,780033;4,15E-05;0
572400;0,000222001;0,000135734;40,780033;2,39E-05;0
576000;0,000224001;0,000135229;40,780033;1,61E-05;0
579600;0,000233502;0,000135608;-25,50286;0;0
583200;0,000241502;0,000142309;-25,50286;0;0
586800;0,000246502;0,000143936;-25,50286;0;0
590400;0,000245502;0,000141973;-25,50286;0;0
594000;0,000240002;0,000135779;0,494911;0;0
597600;0,000219001;0,000130454;0,494911;0;0
601200;0,000191001;0,00012721;0,494911;0;0
604800;0,000140501;0,000119653;0,494911;0;0,00E+00
608400;0,00011506;0,000113268;49,296276;0;0,00E+00
612000;0,000122342;0,000108789;49,296276;0;0,00E+00
615600;0,000123799;0,00010558;49,296276;0;0,00E+00
619200;0,000133023;0,00010338;49,296276;0;0,00E+00
622800;0,000165551;0,000104172;34,55942;0;0,00E+00
626400;0,000244685;0,000108034;34,55942;0;0,00E+00
630000;0,000242257;0,000117785;34,55942;0;0
633600;0,000235461;0,000131135;34,55942;0;0,00E+00
637200;0,00023449;0,000135724;-10,606771;2,48E-05;0,00E+00
640800;0,000229635;0,00013669;-10,606771;5,90E-05;0,00E+00
644400;0,000223323;0,000137951;-10,606771;0,000172167;0,00E+00
648000;0,000216527;0,000139232;-10,606771;0,000191212;0,00E+00
651600;0,000214585;0,000139318;59,6992;0,000152346;2
655200;0,000214099;0,000136696;59,6992;0,000118791;2
658800;0,000215556;0,000134562;59,6992;5,40E-05;2
662400;0,000217498;0,000133172;59,6992;2,30E-05;2
666000;0,000226722;0,000134396;50,938484;0;0
669600;0,00023449;0,000141445;50,938484;0;0
673200;0,000239345;0,000142392;50,938484;0;0
676800;0,000238374;0,000138821;50,938484;0;0
680400;0,000233033;0,00013144;52,253357;0;0
684000;0,000212643;0,000126866;52,253357;0;0
687600;0,000185456;0,000125691;52,253357;0;0
691200;0,000136422;0,000119848;52,253357;0;0,00E+00
694800;0,00011929;0,000115347;20,04072;0;2,00E+00
698400;0,00012684;0,000111254;20,04072;0;2,00E+00
702000;0,00012835;0,000108384;20,04072;0;2,00E+00
705600;0,000137913;0,000106112;20,04072;0;2,00E+00
709200;0,000171637;0,000105208;26,938095;0;2,00E+00
712800;0,00025368;0,000104321;26,938095;0;2,00E+00
716400;0,000251164;0,000103165;26,938095;0;2
720000;0,000244117;0,000107608;26,938095;0;2,00E+00
723600;0,00024311;0,000113812;38,795586;1,56E-05;2,00E+00
727200;0,000238077;0,000120167;38,795586;4,79E-05;2,00E+00
730800;0,000231534;0,000124469;38,795586;8,31E-05;2,00E+00
734400;0,000224487;0,0001273;38,795586;8,82E-05;2,00E+00
738000;0,000222474;0,000128129;-26,343174;0,000105386;0
741600;0,00022197;0,000126019;-26,343174;8,34E-05;0
745200;0,00022348;0,000122554;-26,343174;3,14E-05;0
748800;0,000225494;0,000121551;-26,343174;6,25E-06;0
752400;0,000235057;0,000123272;-29,506397;0;0
756000;0,00024311;0,000129426;-29,506397;0;0
759600;0,000248144;0,000131602;-29,506397;0;0
763200;0,000247137;0,000128284;-29,506397;0;0
766800;0,0002416;0,000121442;71,333405;0;0
770400;0,00022046;0,00011809;71,333405;0;0
774000;0,000192274;0,000118589;71,333405;0;0
777600;0,000141437;0,000114749;71,333405;0;0,00E+00
781200;0,000126188;0,000109113;52,34071;0;0,00E+00
784800;0,000134174;0,000104383;52,34071;0;0,00E+00
788400;0,000135772;0,000101497;52,34071;0;0,00E+00
792000;0,000145888;9,85E-05;52,34071;0;0,00E+00
795600;0,000181561;9,65E-05;14,358727;0;0,00E+00
799200;0,000268348;9,36E-05;14,358727;0;0,00E+00
802800;0,000265686;8,89E-05;14,358727;0;0
806400;0,000258232;9,04E-05;14,358727;9,93E-06;0,00E+00
810000;0,000257167;9,56E-05;50,836098;3,91E-05;2,00E+00
813600;0,000251843;0,000101816;50,836098;1,84E-04;2,00E+00
817200;0,000244921;0,00010591;50,836098;4,81E-04;2,00E+00
820800;0,000237467;0,000111338;50,836098;5,14E-04;2,00E+00
824400;0,000235337;0,000111634;-15,797496;3,18E-04;2
828000;0,000234805;0,00010768;-15,797496;1,23E-04;2
831600;0,000236402;0,000104911;-15,797496;5,10E-05;2
835200;0,000238532;0,000104145;-15,797496;1,11E-05;2
838800;0,000248648;0,000106325;18,753307;0,00E+00;0
842400;0,000257167;0,000115885;18,753307;0,00E+00;0
846000;0,000262492;0,000121008;18,753307;0,00E+00;0
849600;0,000261427;0,000120333;18,753307;0,00E+00;0
853200;0,00025557;0,000115748;-19,300287;0,00E+00;2
856800;0,000233208;0,000112897;-19,300287;0,00E+00;2
860400;0,000203391;0,000114833;-19,300287;0,00E+00;2
864000;0,000149615;0,000110138;-19,300287;0,00E+00;2,00E+00
867600;0,000141814;0,000105468;72,80887;0,00E+00;0,00E+00
871200;0,000145632;0,000101333;72,80887;0,00E+00;0,00E+00
874800;0,000147814;9,95E-05;72,80887;0,00E+00;0,00E+00
878400;0,000159268;9,85E-05;72,80887;0,00E+00;0,00E+00
882000;0,000194176;9,95E-05;-17,16203;0,00E+00;0,00E+00
885600;0,000278174;0,000104109;-17,16203;0,00E+00;0,00E+00
889200;0,000273265;0,000116845;-17,16203;0,00E+00;0
892800;0,000257447;0,00012985;-17,16203;1,02E-05;0,00E+00
896400;0,000263447;0,000135274;36,839535;4,39E-05;0,00E+00
900000;0,000259629;0,000136975;36,839535;7,17E-05;0,00E+00
903600;0,000252538;0,00013876;36,839535;1,22E-04;0,00E+00
907200;0,000246539;0,000141015;36,839535;1,34E-04;0,00E+00
910800;0,000244357;0,000141287;49,751163;1,37E-04;2
914400;0,000239448;0,00014025;49,751163;5,98E-05;2
918000;0,000238902;0,000138176;49,751163;2,77E-05;2
921600;0,000241084;0,000136909;49,751163;1,60E-05;2
925200;0,000250902;0,000136821;44,065273;0;0
928800;0,000258538;0,000142192;44,065273;0;0
932400;0,000261811;0,000144329;44,065273;0;0
936000;0,000259629;0,000142724;44,065273;0;0
939600;0,000251993;0,00013684;2,291119;0;0
943200;0,000230721;0,000131533;2,291119;0;0
946800;0,000206722;0,000128876;2,291119;0;0
950400;0,000151632;0,000120865;2,291119;0;0,00E+00
954000;0,000121734;0,000114356;-20,135965;0;2,00E+00
957600;0,000129439;0,00011006;-20,135965;0;2,00E+00
961200;0,00013098;0,000107531;-20,135965;0;2,00E+00
964800;0,000140739;0,000106337;-20,135965;0;2,00E+00
968400;0,000175154;0,000107048;14,137383;0;2,00E+00
972000;0,000258878;0,000111078;14,137383;0;2,00E+00
975600;0,00025631;0,000124516;14,137383;0;2
979200;0,000249119;0,000138367;14,137383;6,62E-07;2,00E+00
982800;0,000248092;0,000142687;69,0432;6,23E-06;0,00E+00
986400;0,000242955;0,000142699;69,0432;8,74E-06;0,00E+00
990000;0,000236278;0,000143342;69,0432;3,52E-05;0,00E+00
993600;0,000229087;0,000143733;69,0432;8,09E-05;0,00E+00
997200;0,000227032;0,000144216;25,713032;0,000148041;0
1000800;0,000226518;0,00014317;25,713032;0,000253961;0
1004400;0,000228059;0,00014139;25,713032;0,000201211;0
1008000;0,000230114;0,00014054;25,713032;2,05E-05;0
1011600;0,000239873;0,000141072;50,086964;0;0
1015200;0,000248092;0,000147434;50,086964;0;0
1018800;0,000253228;0,000149677;50,086964;0;0
1022400;0,000252201;0,000147689;50,086964;0;0
1026000;0,000246551;0,000141072;32,91946;0;2
1029600;0,000224978;0,000135751;32,91946;0;2
1033200;0,000196213;0,000131803;32,91946;0;2
1036800;0,000144335;0,000124017;32,91946;0;2,00E+00
1040400;0,000115767;0,000118114;-20,75373;0;0,00E+00
1044000;0,000123094;0,000114232;-20,75373;0;0,00E+00
1047600;0,000124559;0,000111241;-20,75373;0;0,00E+00
