Nr;Sekunden;PV_West_kW;PV_Sued_kW;PV_Ost_kW;Strombedarf_kW;u_Spot_EuroMWh;TWWH1_kW;TWWH2_kW;TWWH3_kW;TWWH4_kW;TWWH5_kW;TWWH6_kW;HeizwaermeH1_kW;HeizwaermeH2_kW;HeizwaermeH3_kW;HeizwaermeH4_kW;HeizwaermeH5_kW;HeizwaermeH6_kW;Temperatur_degC;;;;;;;;
3013;2710800;1,37E-01;5,32E-02;1,37E-01;8,519645;65;0;0;0;0;0;0;2,42301;2,02592;2,552;2,6102;2,99367;3,2685;4,1;;;;;;;;
3014;2711700;3,06E-01;1,17E-01;3,06E-01;8,519645;65;0;0;0;0;0;0;2,42301;2,02592;2,552;2,6102;2,99367;3,2685;4,1;;;;;;;;
3015;2712600;5,17E-01;2,02E-01;5,17E-01;8,519645;65;0;0;0;0;0;0;2,42301;2,02592;2,552;2,6102;2,99367;3,2685;4,1;;;;;;;;
3016;2713500;9,39E-01;3,59E-01;8,14E-01;8,519645;65;2,88E+00;3,41E+00;3,21E+00;3,34E+00;6,0333486;1,83E+00;2,42301;2,02592;2,552;2,6102;2,99367;3,2685;4,1;;;;;;;;
3017;2714400;1,65E+00;6,21E-01;1,19E+00;8,63964;62,9;0;0;0;0;0;0;2,40784;2,01476;2,45261;2,51741;2,87397;3,16206;3,5;;;;;;;;
3018;2715300;2,53E+00;9,58E-01;1,52E+00;8,63964;62,9;0;0;0;0;0;0;2,40784;2,01476;2,45261;2,51741;2,87397;3,16206;3,5;;;;;;;;
3019;2716200;3,33E+00;1,30E+00;1,77E+00;8,63964;62,9;0;0;0;0;0;0;2,40784;2,01476;2,45261;2,51741;2,87397;3,16206;3,5;;;;;;;;
3020;2717100;4,85E+00;1,99E+00;1,91E+00;8,63964;62,9;2,39E+00;3,41E+00;1,84E+00;3,34E+00;1,86E+00;6,8310408;2,40784;2,01476;2,45261;2,51741;2,87397;3,16206;3,5;;;;;;;;
3021;2718000;7,12E+00;3,14E+00;2,03E+00;8,711637;57;0;0;0;0;0;0;2,54022;2,20119;2,54636;2,61405;2,92039;3,21;3,4;;;;;;;;
3022;2718900;8,80E+00;4,19E+00;2,20E+00;8,711637;57;0;0;0;0;2,37E+00;0;2,54022;2,20119;2,54636;2,61405;2,92039;3,21;3,4;;;;;;;;
3023;2719800;9,49E+00;4,86E+00;2,35E+00;8,711637;57;4,81E+00;1,28E+00;1,86E+00;8,35E-01;0;0;2,54022;2,20119;2,54636;2,61405;2,92039;3,21;3,4;;;;;;;;
3024;2720700;9,10E+00;4,94E+00;2,48E+00;8,711637;57;7,19275512;1,28E+00;6,88373424;1,25E+00;6,95855088;6,8310408;2,54022;2,20119;2,54636;2,61405;2,92039;3,21;3,4;;;;;;;;
3025;2721600;8,23E+00;4,70E+00;2,61E+00;8,687638;54,2;0;0;0;0;0;0;2,62761;2,30651;2,6211;2,68845;2,99798;3,2921;3,6;;;;;;;;
3026;2722500;7,35E+00;4,38E+00;2,73E+00;8,687638;54,2;0;0;0;0;0;0;2,62761;2,30651;2,6211;2,68845;2,99798;3,2921;3,6;;;;;;;;
3027;2723400;6,71E+00;4,16E+00;3,18E+00;8,687638;54,2;0;0;0;0;0;0;2,62761;2,30651;2,6211;2,68845;2,99798;3,2921;3,6;;;;;;;;
3028;2724300;6,42E+00;4,20E+00;3,61E+00;8,687638;54,2;7,19275512;6,40572228;6,88373424;6,26031252;6,95855088;6,8310408;2,62761;2,30651;2,6211;2,68845;2,99798;3,2921;3,6;;;;;;;;
3029;2725200;6,16E+00;4,30E+00;3,98E+00;8,663639;50,5;0;0;0;0;0;0;3,32149;2,98701;3,10327;3,16861;3,57145;3,89324;4,5;;;;;;;;
3030;2726100;5,90E+00;4,46E+00;4,33E+00;8,663639;50,5;0;0;0;0;0;0;3,32149;2,98701;3,10327;3,16861;3,57145;3,89324;4,5;;;;;;;;
3031;2727000;5,66E+00;4,76E+00;4,73E+00;8,663639;50,5;0;0;0;0;0;0;3,32149;2,98701;3,10327;3,16861;3,57145;3,89324;4,5;;;;;;;;
3032;2727900;5,37E+00;5,16E+00;5,22E+00;8,663639;50,5;2,88E+00;6,40572228;6,88373424;6,26031252;6,95855088;6,8310408;3,32149;2,98701;3,10327;3,16861;3,57145;3,89324;4,5;;;;;;;;
3033;2728800;4,99E+00;5,75E+00;5,88E+00;8,567643;52,4;0;0;0;0;0;0;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,9;;;;;;;;
3034;2729700;4,35E+00;6,39E+00;6,65E+00;8,567643;52,4;0;0;0;0;0;0;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,9;;;;;;;;
3035;2730600;3,43E+00;6,47E+00;7,13E+00;8,567643;52,4;0;0;0;0;0;0;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,9;;;;;;;;
3036;2731500;2,52E+00;5,93E+00;7,10E+00;8,567643;52,4;1,92E+00;2,13E+00;5,9684874;2,09E+00;6,0333486;4,10E+00;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,9;;;;;;;;
3037;2732400;2,23E+00;5,13E+00;6,73E+00;8,495646;57;0;0;0;0;0;0;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,6;;;;;;;;
3038;2733300;2,23E+00;4,34E+00;6,22E+00;8,495646;57;0;0;0;0;0;0;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,6;;;;;;;;
3039;2734200;2,12E+00;3,89E+00;5,95E+00;8,495646;57;0;0;0;0;0;0;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,6;;;;;;;;
3040;2735100;1,92E+00;3,67E+00;5,89E+00;8,495646;57;1,92E+00;2,13E+00;1,84E+00;2,09E+00;1,86E+00;1,83E+00;3,73645;3,37291;3,39142;3,46179;3,89597;4,2359;3,6;;;;;;;;
3041;2736000;1,70E+00;3,56E+00;5,98E+00;8,327653;62,6;0;0;0;0;0;0;4,00008;3,61791;3,56354;3,63752;4,0898;4,44035;2,2;;;;;;;;
3042;2736900;1,43E+00;3,68E+00;6,45E+00;8,327653;62,6;0;0;0;0;0;0;4,00008;3,61791;3,56354;3,63752;4,0898;4,44035;2,2;;;;;;;;
3043;2737800;1,20E+00;3,57E+00;6,61E+00;8,327653;62,6;0;0;0;0;0;0;4,00008;3,61791;3,56354;3,63752;4,0898;4,44035;2,2;;;;;;;;
3044;2738700;8,28E-01;3,35E+00;6,6064204;8,327653;62,6;2,88E+00;2,13E+00;1,84E+00;2,50E+00;1,86E+00;1,83E+00;4,00008;3,61791;3,56354;3,63752;4,0898;4,44035;2,2;;;;;;;;
3045;2739600;6,49E-01;2,448553;5,2700757;8,63964;57;0;0;0;0;0;0;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,7;;;;;;;;
3046;2740500;0,4732788;1,6530205;3,9103267;8,63964;57;0;0;0;0;0;0;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,7;;;;;;;;
3047;2741400;0,38016238;0,8766649;2,3008848;8,63964;57;3,47E+00;0;0;0;0;0;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,7;;;;;;;;
3048;2742300;0,28701187;0,35282697;1,0186889;8,63964;57;7,19275512;3,41E+00;5,9684874;2,93E+00;3,25E+00;3,63E+00;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,7;;;;;;;;
3049;2743200;0,15441722;0,1049382;0,32501352;8,903629;49,7;5,63980704;0;0;0;0;3,44E+00;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,1;;;;;;;;
3050;2744100;0,03898418;0,023616165;0,07307419;8,903629;49,7;0;0;0;0;0;0;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,1;;;;;;;;
3051;2745000;0;0;0;8,903629;49,7;0;0;0;0;0;0;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,1;;;;;;;;
3052;2745900;0;0;0;8,903629;49,7;7,19275512;3,41E+00;5,9684874;3,34E+00;3,25E+00;6,8310408;3,99691;3,61669;3,52284;3,59444;4,0361;4,38676;1,1;;;;;;;;
3053;2746800;0;0;0;8,687638;41;0;0;0;0;0;0;4,07399;3,69434;3,55339;3,62499;4,07678;4,4271;1;;;;;;;;
3054;2747700;0;0;0;8,687638;41;0;0;0;0;0;0;4,07399;3,69434;3,55339;3,62499;4,07678;4,4271;1;;;;;;;;
3055;2748600;0;0;0;8,687638;41;0;0;0;0;1,86E+00;3,13E+00;4,07399;3,69434;3,55339;3,62499;4,07678;4,4271;1;;;;;;;;
3056;2749500;0;0;0;8,687638;41;7,19275512;3,41E+00;5,9684874;3,34E+00;1,86E+00;4,56E+00;4,07399;3,69434;3,55339;3,62499;4,07678;4,4271;1;;;;;;;;
3057;2750400;0;0;0;8,303654;44,2;0;0;0;0;0;0;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,4;;;;;;;;
3058;2751300;0;0;0;8,303654;44,2;0;0;0;0;0;0;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,4;;;;;;;;
3059;2752200;0;0;0;8,303654;44,2;0;0;0;0;0;0;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,4;;;;;;;;
3060;2753100;0;0;0;8,303654;44,2;2,88E+00;3,41E+00;1,84E+00;2,93E+00;6,95855088;4,10E+00;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,4;;;;;;;;
3061;2754000;0;0;0;7,967668;42,4;0;0;0;0;4,36E+00;0;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,3;;;;;;;;
3062;2754900;0;0;0;7,967668;42,4;0;0;0;0;0;0;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,3;;;;;;;;
3063;2755800;0;0;0;7,967668;42,4;0;0;0;0;0;0;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,3;;;;;;;;
3064;2756700;0;0;0;7,967668;42,4;2,39E+00;2,99E+00;1,84E+00;2,50E+00;6,95855088;1,83E+00;4,16689;3,77641;3,59702;3,67111;4,13302;4,48492;1,3;;;;;;;;
3065;2757600;0;0;0;7,751677;38,1;0;0;0;0;4,24E+00;0;4,28633;3,89612;3,68252;3,75257;4,22137;4,58362;1,3;;;;;;;;
3066;2758500;0;0;0;7,751677;38,1;0;0;9,15E-01;0;0;0;4,28633;3,89612;3,68252;3,75257;4,22137;4,58362;1,3;;;;;;;;
3067;2759400;0;0;0;7,751677;38,1;0;0;8,70E-01;0;0;0;4,28633;3,89612;3,68252;3,75257;4,22137;4,58362;1,3;;;;;;;;
3068;2760300;0;0;0;7,751677;38,1;1,92E+00;2,99E+00;6,88373424;2,50E+00;6,95855088;1,83E+00;4,28633;3,89612;3,68252;3,75257;4,22137;4,58362;1,3;;;;;;;;
3069;2761200;0;0;0;7,367693;31,1;0;0;5,18E-01;0;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1,3;;;;;;;;
3070;2762100;0;0;0;7,367693;31,1;0;0;0;0;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1,3;;;;;;;;
3071;2763000;0;0;0;7,367693;31,1;0;0;0;0;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1,3;;;;;;;;
3072;2763900;0;0;0;7,367693;31,1;1,44E+00;1,28E+00;6,88373424;1,67E+00;1,86E+00;1,83E+00;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1,3;;;;;;;;
3073;2764800;0;0;0;7,127703;29,8;0;0;0;0;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1;;;;;;;;
3074;2765700;0;0;0;7,127703;29,8;0;0;0;0;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1;;;;;;;;
3075;2766600;0;0;0;7,127703;29,8;0;0;0;0;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1;;;;;;;;
3076;2767500;0;0;0;7,127703;29,8;0;1,28E+00;0;8,35E-01;0;0;4,37929;3,99017;3,73867;3,80795;4,29518;4,6563;1;;;;;;;;
3077;2768400;0;0;0;6,983709;32,7;0;0;0;0;0;0;4,48162;4,08529;3,81234;3,88257;4,38124;4,7476;0,7;;;;;;;;
3078;2769300;0;0;0;6,983709;32,7;0;0;0;0;0;0;4,48162;4,08529;3,81234;3,88257;4,38124;4,7476;0,7;;;;;;;;
3079;2770200;0;0;0;6,983709;32,7;0;0;0;0;0;0;4,48162;4,08529;3,81234;3,88257;4,38124;4,7476;0,7;;;;;;;;
3080;2771100;0;0;0;6,983709;32,7;0;1,28E+00;0;8,35E-01;0;0;4,48162;4,08529;3,81234;3,88257;4,38124;4,7476;0,7;;;;;;;;
3081;2772000;0;0;0;6,839715;32,3;0;1,28E+00;0;0;0;0;4,46554;4,07165;3,78889;3,85871;4,35553;4,72;0,6;;;;;;;;
3082;2772900;0;0;0;6,839715;32,3;0;4,81E+00;0;0;0;0;4,46554;4,07165;3,78889;3,85871;4,35553;4,72;0,6;;;;;;;;
3083;2773800;0;0;0;6,839715;32,3;0;0;0;1,25E+00;0;0;4,46554;4,07165;3,78889;3,85871;4,35553;4,72;0,6;;;;;;;;
3084;2774700;0;0;0;6,839715;32,3;0;6,40572228;0;1,14E+00;0;0;4,46554;4,07165;3,78889;3,85871;4,35553;4,72;0,6;;;;;;;;
3085;2775600;0;0;0;6,71972;31,1;0;0;0;0;0;0;4,5655;4,16724;3,8603;3,92955;4,43646;4,8063;0,3;;;;;;;;
3086;2776500;0;0;0;6,71972;31,1;0;0;0;0;0;0;4,5655;4,16724;3,8603;3,92955;4,43646;4,8063;0,3;;;;;;;;
3087;2777400;0;0;0;6,71972;31,1;0;0;0;0;0;0;4,5655;4,16724;3,8603;3,92955;4,43646;4,8063;0,3;;;;;;;;
3088;2778300;0;0;0;6,71972;31,1;0;6,40572228;6,88373424;6,26031252;1,86E+00;1,83E+00;4,5655;4,16724;3,8603;3,92955;4,43646;4,8063;0,3;;;;;;;;
3089;2779200;0;0;0;6,743719;32,7;0;0;2,69E+00;0;0;0;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,5;;;;;;;;
3090;2780100;0;0;0;6,743719;32,7;0;0;0;0;0;0;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,5;;;;;;;;
3091;2781000;0;0;0;6,743719;32,7;0;0;0;0;0;0;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,5;;;;;;;;
3092;2781900;0;0;0;6,743719;32,7;1,92E+00;6,40572228;6,88373424;6,26031252;1,86E+00;1,83E+00;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,5;;;;;;;;
3093;2782800;0;0;0;6,95971;39,9;0;0;0;0;0;0;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,6;;;;;;;;
3094;2783700;0;0;0;6,95971;39,9;0;0;0;0;0;0;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,6;;;;;;;;
3095;2784600;0;0;0;6,95971;39,9;0;0;0;0;0;0;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,6;;;;;;;;
3096;2785500;0;0;0;6,95971;39,9;2,39E+00;6,40572228;1,84E+00;6,26031252;1,86E+00;1,83E+00;4,49014;4,10358;3,92745;3,99476;4,46274;4,80696;0,6;;;;;;;;
3097;2786400;0;0;0;7,559685;55,6;0;0;0;5,3354622;0;0;3,27176;2,91505;3,80542;3,87248;4,00328;4,17212;-0,1;;;;;;;;
3098;2787300;0;0;0;7,559685;55,6;0;0;0;0;0;0;3,27176;2,91505;3,80542;3,87248;4,00328;4,17212;-0,1;;;;;;;;
3099;2788200;0;0;0;7,559685;55,6;2,88E+00;0;0;0;0;0;3,27176;2,91505;3,80542;3,87248;4,00328;4,17212;-0,1;;;;;;;;
3100;2789100;0;0;0;7,559685;55,6;2,47E+00;6,40572228;4,59E+00;6,26031252;1,86E+00;1,83E+00;3,27176;2,91505;3,80542;3,87248;4,00328;4,17212;-0,1;;;;;;;;
3101;2790000;0;0;0;8,351652;57,2;0;0;0;0;0;0;0,69038;0;2,12059;2,18714;1,48452;1,08969;-0,2;;;;;;;;
3102;2790900;0;0;0;8,351652;57,2;0;0;0;0;0;0;0,69038;0;2,12059;2,18714;1,48452;1,08969;-0,2;;;;;;;;
3103;2791800;0;0;0;8,351652;57,2;0;0;0;0;0;0;0,69038;0;2,12059;2,18714;1,48452;1,08969;-0,2;;;;;;;;
3104;2792700;0;0;0,00E+00;8,351652;57,2;6,2364798;5,55407964;3,21E+00;5,84057508;6,0333486;3,77E+00;0,69038;0;2,12059;2,18714;1,48452;1,08969;-0,2;;;;;;;;
3105;2793600;0;0,00E+00;0,00E+00;8,663639;59,1;0;0;0;0;0;3,43E+00;0;0;0,52064;0,53189;0,09206;0,33731;-0,3;;;;;;;;
3106;2794500;0,00E+00;0,00E+00;0,00E+00;8,663639;59,1;0;0;0;0;0;0;0;0;0,52064;0,53189;0,09206;0,33731;-0,3;;;;;;;;
3107;2795400;0,00E+00;0,00E+00;0,00E+00;8,663639;59,1;0;0;0;0;0;0;0;0;0,52064;0,53189;0,09206;0,33731;-0,3;;;;;;;;
3108;2796300;6,48E-02;2,32E-02;5,41E-02;8,663639;59,1;3,36E+00;3,41E+00;3,21E+00;3,76E+00;6,0333486;6,8310408;0;0;0,52064;0,53189;0,09206;0,33731;-0,3;;;;;;;;
3109;2797200;2,58E-01;8,90E-02;2,13E-01;8,735636;58,5;0;0;0;0;0;0;1,1718;0,51961;1,20056;1,28229;1,50085;1,61504;0,7;;;;;;;;
3110;2798100;5,37E-01;1,92E-01;4,43E-01;8,735636;58,5;0;0;0;0;0;0;1,1718;0,51961;1,20056;1,28229;1,50085;1,61504;0,7;;;;;;;;
3111;2799000;8,51E-01;3,13E-01;6,96E-01;8,735636;58,5;0;0;0;0;0;0;1,1718;0,51961;1,20056;1,28229;1,50085;1,61504;0,7;;;;;;;;
3112;2799900;1,44E+00;5,21E-01;1,00E+00;8,735636;58,5;3,36E+00;3,41E+00;3,21E+00;3,34E+00;6,0333486;4,56E+00;1,1718;0,51961;1,20056;1,28229;1,50085;1,61504;0,7;;;;;;;;
3113;2800800;2,45E+00;8,82E-01;1,34E+00;8,831632;57,7;0;0;0;0;0;0;1,2201;0,85536;1,27446;1,32701;1,6283;1,76406;2,1;;;;;;;;
3114;2801700;3,73E+00;1,38E+00;1,62E+00;8,831632;57,7;0;0;0;0;0;0;1,2201;0,85536;1,27446;1,32701;1,6283;1,76406;2,1;;;;;;;;
3115;2802600;4,81E+00;1,87E+00;1,83E+00;8,831632;57,7;0;0;0;0;0;0;1,2201;0,85536;1,27446;1,32701;1,6283;1,76406;2,1;;;;;;;;
3116;2803500;6,07E+00;2,50E+00;1,99E+00;8,831632;57,7;2,39E+00;3,41E+00;1,84E+00;3,34E+00;1,86E+00;2,27E+00;1,2201;0,85536;1,27446;1,32701;1,6283;1,76406;2,1;;;;;;;;
3117;2804400;7,91E+00;3,50E+00;2,09E+00;8,975626;57,7;0;0;0;0;0;0;1,2008;0,86906;1,12624;1,11882;1,53318;1,78574;2,6;;;;;;;;
3118;2805300;9,17E+00;4,37E+00;2,24E+00;8,975626;57,7;4,80E-01;0;3,47E+00;0;6,94E-01;0;1,2008;0,86906;1,12624;1,11882;1,53318;1,78574;2,6;;;;;;;;
3119;2806200;9,71E+00;4,96E+00;2,37E+00;8,975626;57,7;5,5825884;3,14E+00;0;3,07E+00;0;0;1,2008;0,86906;1,12624;1,11882;1,53318;1,78574;2,6;;;;;;;;
3120;2807100;9,40E+00;5,11E+00;2,49E+00;8,975626;57,7;7,19275512;6,40572228;6,88373424;6,26031252;6,95855088;1,83E+00;1,2008;0,86906;1,12624;1,11882;1,53318;1,78574;2,6;;;;;;;;
3121;2808000;8,65E+00;4,96E+00;2,61E+00;9,023624;54,4;0;0;0;0;0;0;1,1922;0,90284;1,18411;1,20706;1,56015;1,803;3,8;;;;;;;;
3122;2808900;7,84E+00;4,72E+00;2,73E+00;9,023624;54,4;0;0;0;0;0;0;1,1922;0,90284;1,18411;1,20706;1,56015;1,803;3,8;;;;;;;;
3123;2809800;7,31E+00;4,64E+00;3,20E+00;9,023624;54,4;0;0;0;0;0;9,10E-01;1,1922;0,90284;1,18411;1,20706;1,56015;1,803;3,8;;;;;;;;
3124;2810700;6,98E+00;4,71E+00;3,67E+00;9,023624;54,4;7,19275512;6,40572228;6,88373424;5,01E+00;6,95855088;1,83E+00;1,1922;0,90284;1,18411;1,20706;1,56015;1,803;3,8;;;;;;;;
3125;2811600;6,64E+00;4,79E+00;4,10E+00;9,095621;50,9;0;0;0;0;0;0;1,5711;1,3495;2,02946;2,07474;2,39895;2,64729;4,7;;;;;;;;
3126;2812500;6,27E+00;4,89E+00;4,50E+00;9,095621;50,9;0;0;0;0;0;0;1,5711;1,3495;2,02946;2,07474;2,39895;2,64729;4,7;;;;;;;;
3127;2813400;5,88E+00;5,00E+00;4,89E+00;9,095621;50,9;0;0;0;0;0;0;1,5711;1,3495;2,02946;2,07474;2,39895;2,64729;4,7;;;;;;;;
3128;2814300;5,54E+00;5,35E+00;5,39E+00;9,095621;50,9;2,88E+00;1,99E+00;6,88373424;6,26031252;6,95855088;6,8310408;1,5711;1,3495;2,02946;2,07474;2,39895;2,64729;4,7;;;;;;;;
3129;2815200;5,11E+00;5,92E+00;6,04E+00;9,047623;47,1;0;0;0;0;0;0;1,6609;1,4727;2,30293;2,36092;2,71977;2,933;6;;;;;;;;
3130;2816100;4,44E+00;6,55E+00;6,82E+00;9,047623;47,1;0;0;0;0;0;0;1,6609;1,4727;2,30293;2,36092;2,71977;2,933;6;;;;;;;;
3131;2817000;3,49E+00;6,60E+00;7,28E+00;9,047623;47,1;0;0;0;0;0;0;1,6609;1,4727;2,30293;2,36092;2,71977;2,933;6;;;;;;;;
3132;2817900;2,54E+00;6,13E+00;7,33E+00;9,047623;47,1;1,92E+00;2,56E+00;5,9684874;2,09E+00;6,0333486;6,8310408;1,6609;1,4727;2,30293;2,36092;2,71977;2,933;6;;;;;;;;
3133;2818800;2,24E+00;5,25E+00;6,90E+00;9,023624;46;0;0;0;0;0;0;1,80196;1,5798;2,55132;2,61083;2,98667;3,23047;3,9;;;;;;;;
3134;2819700;2,24E+00;4,57E+00;6,52E+00;9,023624;46;0;0;0;0;0;0;1,80196;1,5798;2,55132;2,61083;2,98667;3,23047;3,9;;;;;;;;
3135;2820600;2,14E+00;4,05E+00;6,18E+00;9,023624;46;2,34E+00;0;0;0;0;0;1,80196;1,5798;2,55132;2,61083;2,98667;3,23047;3,9;;;;;;;;
3136;2821500;1,96E+00;3,85E+00;6,17E+00;9,023624;46;7,19275512;4,27E+00;1,84E+00;3,76E+00;1,86E+00;1,83E+00;1,80196;1,5798;2,55132;2,61083;2,98667;3,23047;3,9;;;;;;;;
3137;2822400;1,74E+00;3,75E+00;6,30E+00;8,927628;48,8;0;0;0;0;0;0;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,6;;;;;;;;
3138;2823300;1,48E+00;3,86E+00;6,77E+00;8,927628;48,8;0;0;0;0;0;0;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,6;;;;;;;;
3139;2824200;1,16E+00;4,19E+00;7,72E+00;8,927628;48,8;0;0;1,84E+00;0;1,86E+00;0;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,6;;;;;;;;
3140;2825100;8,50E-01;3,63E+00;7,1772754;8,927628;48,8;7,19275512;2,13E+00;1,59E+00;2,50E+00;1,61E+00;2,27E+00;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,6;;;;;;;;
3141;2826000;6,82E-01;2,6235715;5,659386;9,191617;53,3;0;0;0;0;0;0;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,3;;;;;;;;
3142;2826900;0,50052643;1,7711967;4,199797;9,191617;53,3;0;0;0;0;0;0;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,3;;;;;;;;
3143;2827800;0,3885573;0,9815145;2,5834402;9,191617;53,3;0;0;0;0;0;0;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,3;;;;;;;;
3144;2828700;0,30329166;0,39139304;1,1329215;9,191617;53,3;7,19275512;3,41E+00;6,88373424;2,93E+00;6,95855088;4,10E+00;2,13755;1,76207;2,92598;2,99254;3,41007;3,68463;3,3;;;;;;;;
3145;2829600;0,1688543;0,110998245;0,34202576;9,383609;48,8;0;8,50E-02;0;0;0;0;2,31348;1,86287;2,95719;3,03291;3,42693;3,71457;2,9;;;;;;;;
3146;2830500;0,04356717;0,0236488;0,07014852;9,383609;48,8;0;2,00E+00;0;6,84E-01;0;0;2,31348;1,86287;2,95719;3,03291;3,42693;3,71457;2,9;;;;;;;;
3147;2831400;0;0;0;9,383609;48,8;0;0;0;0;0;0;2,31348;1,86287;2,95719;3,03291;3,42693;3,71457;2,9;;;;;;;;
3148;2832300;0;0;0;9,383609;48,8;7,19275512;6,40572228;6,88373424;6,26031252;6,95855088;4,10E+00;2,31348;1,86287;2,95719;3,03291;3,42693;3,71457;2,9;;;;;;;;
3149;2833200;0;0;0;9,143619;40;0;1,53E+00;0;5,29282476;0;0;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;1,9;;;;;;;;
3150;2834100;0;0;0;9,143619;40;0;0;0;0;0;2,27E+00;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;1,9;;;;;;;;
3151;2835000;0;0;0;9,143619;40;0;0;0;0;0;5,92278288;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;1,9;;;;;;;;
3152;2835900;0;0;0;9,143619;40;4,31E+00;6,40572228;5,9684874;6,26031252;4,17E+00;6,8310408;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;1,9;;;;;;;;
3153;2836800;0;0;0;8,63964;39;0;0;0;0;0;5,66665656;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;2,4;;;;;;;;
3154;2837700;0;0;0;8,63964;39;0;0;0;0;0;0;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;2,4;;;;;;;;
3155;2838600;0;0;0;8,63964;39;0;0;0;0;0;0;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;2,4;;;;;;;;
3156;2839500;0;0;0;8,63964;39;2,88E+00;3,41E+00;1,84E+00;3,76E+00;3,25E+00;6,8310408;2,51723;1,97875;3,03789;3,11934;3,51279;3,81017;2,4;;;;;;;;
3157;2840400;0;0;0;8,15966;38,8;0;0;0;0;0;0;2,7488;2,19313;3,17471;3,25857;3,65973;3,97772;2,2;;;;;;;;
3158;2841300;0;0;0;8,15966;38,8;0;0;0;0;0;0;2,7488;2,19313;3,17471;3,25857;3,65973;3,97772;2,2;;;;;;;;
3159;2842200;0;0;0;8,15966;38,8;1,92E+00;0;1,38E+00;0;0;0;2,7488;2,19313;3,17471;3,25857;3,65973;3,97772;2,2;;;;;;;;
3160;2843100;0;0;0;8,15966;38,8;2,12E+00;2,99E+00;1,03E+00;2,50E+00;1,86E+00;2,27E+00;2,7488;2,19313;3,17471;3,25857;3,65973;3,97772;2,2;;;;;;;;
3161;2844000;0;0;0;7,871672;34,8;5,3128362;0;0;0;0;0;2,93892;2,44553;3,25032;3,33708;3,74994;4,07346;2,2;;;;;;;;
3162;2844900;0;0;0;7,871672;34,8;0;0;0;0;0;0;2,93892;2,44553;3,25032;3,33708;3,74994;4,07346;2,2;;;;;;;;
3163;2845800;0;0;0;7,871672;34,8;0;0;0;0;1,67E+00;0;2,93892;2,44553;3,25032;3,33708;3,74994;4,07346;2,2;;;;;;;;
3164;2846700;0;0;0;7,871672;34,8;7,19275512;2,99E+00;6,88373424;2,50E+00;2,22E+00;2,27E+00;2,93892;2,44553;3,25032;3,33708;3,74994;4,07346;2,2;;;;;;;;
